dia;ativo3;ativo4;ativo11;ativo13;ativo14;ativo15;ativo16;ativo19;ativo20;ativo23;ativo24;ativo25;ativo28;ativo31;tivo33;ativo34;ativo37;ativo41;ativo42;ativo43;ativo50;ativo51;ativo55;ativo57;ativo64;ativo65;ativo66;ativo69;ativo71;ativo74;ativo76;ativo81;ativo82;ativo83;ativo84;ativo85;ativo86;ativo87;ativo89
1413;0.023359983;0.085351809;0.031317428;0.014996596;0.020776205;0.06038961;0.023760692;0.003035884;0.049823778;0.030640669;0.031294451;0.028699565;0.017647;0.043589723;0.02437276;0.051219474;-0.005414092;0.042445576;0.048387139;0.038426349;0.061522426;0.020408151;0.009159022;0.021489928;0;0.044580465;0.041382447;-0.003795066;-0.004545455;0.058354823;0.106598985;0.01299973;0.015738499;0.013924077;0.010469008;0.134883721;0.02548286;0;0.032598848
1414;-0.004846805;0.010626976;-0.00139616;0.023841553;0.017665091;0.016533987;0.034383838;0.018159806;0.007532415;-0.01951952;-0.026206873;0.023975531;-0.007514393;0.015561031;0.00349895;0.003093579;-0.016970862;0.003877848;0.008076885;0.001762115;0;0.011594208;0.010726084;0;0;0.018828452;0.017467205;-0.007619048;0.01826484;-0.041899514;0.047400612;-0.000242082;-0.005959476;0.023720339;-0.028707143;-0.023770492;0.010986189;-0.005524862;0.000444555
1415;0;-0.011566671;0.004893392;-0.002623893;-0.006037736;-0.019879518;-0.01108025;0.021403092;0.023176328;0;0.005099229;-0.001702918;-0.005241701;0.006451645;-0.0041841;0.003084038;0.025081516;-0.005311396;-0.001526097;-0.032541777;-0.005893939;-0.011461323;0.013333384;0.011220254;0;-0.008213552;-0.001287511;-0.001919386;0.012556054;-0.033464281;-0.027007299;-0.000242238;-0.009592326;-0.015853675;-0.001111111;-0.038623006;0.013971461;0;0.007999935
1416;-0.01649642;0.029787232;-0.013913037;0.006247981;-0.015185991;-0.029502151;0.00224084;0.016297963;0.030327261;0.016845329;-0.000845602;0.003837977;0.009953162;-0.003205144;-0.024509804;0.02843972;0.035907172;-0.009223301;-0.02139851;-0.000909091;-0.019762831;-0.023768136;-0.018528497;-0.004854404;0;-0.003726749;-0.003008122;-0.009615385;0.031443756;0.032524643;-0.024756189;-0.016230572;-0.002421308;0.039900874;-0.003782024;0.004366812;0.009186017;0;0.003086411
1417;-0.00431314;-0.012396743;0.006701987;-0.008169939;0.019660755;-0.002533249;0.003633343;0.016609451;-0.017731009;0.004518072;0.02538788;-0.010195401;0.019130435;-0.025723438;0.005025126;-0.009715987;-0.011042945;-0.009309211;-0.005857165;0.034576888;-0.003024209;0.000593834;-0.031463774;-0.005574941;0;-0.027431381;-0.02284487;-0.017475728;-0.012451696;-0.021973885;0.007692308;0.000985004;-0.02184466;-0.027645349;0.027244351;-0.002608696;-0.011378028;0;-0.004395635
1418;0.012353579;0.027196702;-0.005606164;0.001647395;0.009451795;0.02031746;-0.009468115;-0.002816845;-0.047294704;-0.017991004;-0.013755191;-0.011587964;0.023890785;0.013201302;-0.017857143;-0.021886852;0.009615423;0;0.00942663;-0.00351803;-0.007077834;-0.00741836;0.013559321;-0.004905346;0;0.008547009;0.014997794;0.003952569;0.003913043;0.003246779;0.003816794;-0.021648265;-0.003722084;0.003186263;0.000434783;0.007846556;-0.008439847;0;0.006180999
1419;0.006497652;0.002036611;0.014799147;-0.020723651;-0.002247266;-0.016801493;-0.007309502;-0.003954915;-0.012502581;-0.007022901;0.00474204;-0.012158018;-0.002777722;-0.013029298;0;0.003086418;-0.001536137;-0.003956479;0.002334591;0.019417476;0.009165015;0.005680117;-0.013935347;0.01408445;0;-0.00635589;-0.01347236;0.00984252;-0.025552187;-0.010355961;-0.022813688;-0.003268821;0.02117061;0.013926165;-0.007388092;0;-0.025019371;0;0.007898138
1420;0.012438996;0.044715398;-0.003472221;0.000671781;-0.008258221;0.008860759;0.014443472;0.016449292;0.001151742;0.008610086;0.003609092;0.007032866;0.00835649;0.016501648;-0.020363636;-0.026923058;-0.006153846;0.01489583;0.013975194;0.053679654;-0.00302726;0.003567177;0.007631491;-0.006111033;0;0.011087334;0.011453656;-0.007797271;0.038222222;0.039895329;-0.010116732;-0.006054415;0.019512195;-0.004578297;-0.003940455;-0.032871972;0.002116455;0;0.013495872
1421;-0.005287709;0.034046803;-0.058188174;-0.033903922;-0.031037093;-0.007528231;-0.006700112;-0.01227673;-0.008048693;0.017073171;-0.000276643;-0.0008729;-0.004972376;-0.003246769;-0.010393467;0.012648212;0.004643924;-0.041095937;-0.040964853;-0.030402629;-0.060728696;-0.06013034;-0.008134711;-0.015651247;0;-0.008856981;-0.012630619;-0.013752456;-0.011558219;0.000503094;-0.08254717;0.010152208;-0.027511962;-0.006535924;-0.004615385;-0.084973166;-0.02798313;0;-0.026202557
1422;-0.001719844;-0.042333107;-0.010728867;0.00069489;0.00625;-0.051833123;0.007307419;0.01073435;-0.018933909;-0.011690647;0.026009918;0.013542988;-0.003331427;0.004071661;-0.000750188;-0.008587035;-0.004622458;0.01734699;0.016766468;-0.005084746;0.012930912;0.005357692;-0.002262378;-0.041737643;0;0.004255319;0.004411116;0.021912351;-0.003897791;-0.00088001;0.018851757;-0.005778869;-0.022140221;0.011208537;0.009494414;0.018572825;0.003530717;0;0.015438863
